Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 18 | Time: 0.300s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 19 | Time: 0.317s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 20 | Time: 0.333s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 21 | Time: 0.350s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 22 | Time: 0.367s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 23 | Time: 0.383s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 24 | Time: 0.400s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 25 | Time: 0.417s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 26 | Time: 0.433s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 27 | Time: 0.450s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 28 | Time: 0.467s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 29 | Time: 0.483s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 30 | Time: 0.500s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 31 | Time: 0.517s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 32 | Time: 0.533s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 33 | Time: 0.550s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 34 | Time: 0.567s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 35 | Time: 0.583s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 36 | Time: 0.600s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 37 | Time: 0.617s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 38 | Time: 0.633s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 39 | Time: 0.650s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 40 | Time: 0.667s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 41 | Time: 0.683s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 42 | Time: 0.700s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 43 | Time: 0.717s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 44 | Time: 0.733s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 45 | Time: 0.750s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 46 | Time: 0.767s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 47 | Time: 0.783s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 48 | Time: 0.800s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 49 | Time: 0.817s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 50 | Time: 0.833s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 51 | Time: 0.850s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 52 | Time: 0.867s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 53 | Time: 0.883s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 54 | Time: 0.900s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 55 | Time: 0.917s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 56 | Time: 0.933s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 57 | Time: 0.950s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 58 | Time: 0.967s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 59 | Time: 0.983s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 60 | Time: 1.000s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: -1.81 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0
Step 61 | Time: 1.017s | Pos: (639.0, 355.1) | Vel: (-62.4, -293.4) | Orient: -1.80 rad | AngVel: 0.52 | Speed: 300.0 | Score: 0
Step 62 | Time: 1.033s | Pos: (637.9, 350.2) | Vel: (-62.4, -293.4) | Orient: -1.79 rad | AngVel: 0.66 | Speed: 300.0 | Score: 0
Step 63 | Time: 1.050s | Pos: (636.9, 345.3) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.56 | Speed: 300.0 | Score: 0
Step 64 | Time: 1.067s | Pos: (635.8, 340.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.35 | Speed: 300.0 | Score: 0
Step 65 | Time: 1.083s | Pos: (634.8, 335.5) | Vel: (-62.4, -293.4) | Orient: -1.77 rad | AngVel: 0.13 | Speed: 300.0 | Score: 0
Step 66 | Time: 1.100s | Pos: (633.8, 330.7) | Vel: (-62.4, -293.4) | Orient: -1.77 rad | AngVel: -0.03 | Speed: 300.0 | Score: 0
Step 67 | Time: 1.117s | Pos: (632.7, 325.8) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.11 | Speed: 300.0 | Score: 0
Step 68 | Time: 1.133s | Pos: (631.7, 320.9) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.13 | Speed: 300.0 | Score: 0
Step 69 | Time: 1.150s | Pos: (630.6, 316.0) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.10 | Speed: 300.0 | Score: 0
Step 70 | Time: 1.167s | Pos: (629.6, 311.1) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.06 | Speed: 300.0 | Score: 0
Step 71 | Time: 1.183s | Pos: (628.6, 306.2) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.02 | Speed: 300.0 | Score: 0
Step 72 | Time: 1.200s | Pos: (627.5, 301.3) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0
Step 73 | Time: 1.217s | Pos: (626.5, 296.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.02 | Speed: 300.0 | Score: 0
Step 74 | Time: 1.233s | Pos: (625.4, 291.5) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.02 | Speed: 300.0 | Score: 0
Step 75 | Time: 1.250s | Pos: (624.4, 286.6) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.02 | Speed: 300.0 | Score: 0
Step 76 | Time: 1.267s | Pos: (623.4, 281.7) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.01 | Speed: 300.0 | Score: 0
Step 77 | Time: 1.283s | Pos: (622.3, 276.9) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 78 | Time: 1.300s | Pos: (621.3, 272.0) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 79 | Time: 1.317s | Pos: (620.2, 267.1) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 80 | Time: 1.333s | Pos: (619.2, 262.2) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 81 | Time: 1.350s | Pos: (618.2, 257.3) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 82 | Time: 1.367s | Pos: (617.1, 252.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 83 | Time: 1.383s | Pos: (616.1, 247.5) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 84 | Time: 1.400s | Pos: (615.0, 242.6) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 85 | Time: 1.417s | Pos: (614.0, 237.7) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 86 | Time: 1.433s | Pos: (613.0, 232.8) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 87 | Time: 1.450s | Pos: (611.9, 228.0) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 88 | Time: 1.467s | Pos: (610.9, 223.1) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 89 | Time: 1.483s | Pos: (609.8, 218.2) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 90 | Time: 1.500s | Pos: (608.8, 213.3) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 91 | Time: 1.517s | Pos: (607.8, 208.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 92 | Time: 1.533s | Pos: (606.7, 203.5) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 93 | Time: 1.550s | Pos: (605.7, 198.6) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 94 | Time: 1.567s | Pos: (604.6, 193.7) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 95 | Time: 1.583s | Pos: (603.6, 188.8) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 96 | Time: 1.600s | Pos: (602.6, 183.9) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 97 | Time: 1.617s | Pos: (601.5, 179.0) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 98 | Time: 1.633s | Pos: (600.5, 174.2) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 99 | Time: 1.650s | Pos: (599.4, 169.3) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 100 | Time: 1.667s | Pos: (598.4, 164.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 101 | Time: 1.683s | Pos: (597.4, 159.5) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 102 | Time: 1.700s | Pos: (596.3, 154.6) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 103 | Time: 1.717s | Pos: (595.3, 149.7) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 104 | Time: 1.733s | Pos: (594.2, 144.8) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 105 | Time: 1.750s | Pos: (593.2, 139.9) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 106 | Time: 1.767s | Pos: (592.2, 135.0) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: -0.00 | Speed: 300.0 | Score: 0
Step 107 | Time: 1.783s | Pos: (591.1, 130.1) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 108 | Time: 1.800s | Pos: (590.1, 125.2) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 109 | Time: 1.817s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 0.00 | Speed: 300.0 | Score: 0
Step 110 | Time: 1.833s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 111 | Time: 1.850s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 112 | Time: 1.867s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 113 | Time: 1.883s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 114 | Time: 1.900s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 115 | Time: 1.917s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 116 | Time: 1.933s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 117 | Time: 1.950s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 118 | Time: 1.967s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 119 | Time: 1.983s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 120 | Time: 2.000s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 121 | Time: 2.017s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 122 | Time: 2.033s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 123 | Time: 2.050s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 124 | Time: 2.067s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 125 | Time: 2.083s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 126 | Time: 2.100s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 127 | Time: 2.117s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 128 | Time: 2.133s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 129 | Time: 2.150s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 130 | Time: 2.167s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 131 | Time: 2.183s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 132 | Time: 2.200s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 133 | Time: 2.217s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 134 | Time: 2.233s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 135 | Time: 2.250s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 136 | Time: 2.267s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 137 | Time: 2.283s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 138 | Time: 2.300s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 139 | Time: 2.317s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 140 | Time: 2.333s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 141 | Time: 2.350s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 142 | Time: 2.367s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 143 | Time: 2.383s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 144 | Time: 2.400s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 145 | Time: 2.417s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 146 | Time: 2.433s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 147 | Time: 2.450s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 148 | Time: 2.467s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 149 | Time: 2.483s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 150 | Time: 2.500s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 151 | Time: 2.517s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 152 | Time: 2.533s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 153 | Time: 2.550s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 154 | Time: 2.567s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 155 | Time: 2.583s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 156 | Time: 2.600s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 157 | Time: 2.617s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 158 | Time: 2.633s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 159 | Time: 2.650s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 160 | Time: 2.667s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 161 | Time: 2.683s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
Step 162 | Time: 2.700s | Pos: (590.1, 125.2) | Vel: (62.4, 293.4) | Orient: -1.81 rad | AngVel: -2.00 | Speed: 300.0 | Score: 0
Step 163 | Time: 2.717s | Pos: (589.0, 120.4) | Vel: (-62.4, -293.4) | Orient: -1.78 rad | AngVel: 2.00 | Speed: 300.0 | Score: 0
